time: 16/01/2020 - 00:10:57

Iter =   1670/ 50000, loss_seg = 0.3810 loss_adv = 0.0013, loss_weight = 0.0198, loss_D_s = 0.3498 loss_D_t = 0.3494
Iter =   1680/ 50000, loss_seg = 0.2466 loss_adv = 0.0011, loss_weight = 0.0198, loss_D_s = 0.2712 loss_D_t = 0.4564
Iter =   1690/ 50000, loss_seg = 0.2909 loss_adv = 0.0014, loss_weight = 0.0198, loss_D_s = 0.6038 loss_D_t = 0.3465
Iter =   1700/ 50000, loss_seg = 0.3968 loss_adv = 0.0011, loss_weight = 0.0198, loss_D_s = 1.0635 loss_D_t = 0.4925
Iter =   1710/ 50000, loss_seg = 0.7625 loss_adv = 0.0012, loss_weight = 0.0198, loss_D_s = 0.4330 loss_D_t = 0.4138
Iter =   1720/ 50000, loss_seg = 0.3300 loss_adv = 0.0009, loss_weight = 0.0198, loss_D_s = 0.3806 loss_D_t = 0.5931
Iter =   1730/ 50000, loss_seg = 0.3361 loss_adv = 0.0013, loss_weight = 0.0198, loss_D_s = 0.7492 loss_D_t = 0.3757
Iter =   1740/ 50000, loss_seg = 0.4389 loss_adv = 0.0013, loss_weight = 0.0198, loss_D_s = 0.4790 loss_D_t = 0.3974
Iter =   1750/ 50000, loss_seg = 0.2616 loss_adv = 0.0011, loss_weight = 0.0198, loss_D_s = 0.3580 loss_D_t = 0.5104
Iter =   1760/ 50000, loss_seg = 0.2960 loss_adv = 0.0014, loss_weight = 0.0198, loss_D_s = 0.2326 loss_D_t = 0.3874
Iter =   1770/ 50000, loss_seg = 0.5814 loss_adv = 0.0020, loss_weight = 0.0198, loss_D_s = 1.1817 loss_D_t = 0.2399
Iter =   1780/ 50000, loss_seg = 0.5177 loss_adv = 0.0008, loss_weight = 0.0198, loss_D_s = 0.3716 loss_D_t = 0.6567
Iter =   1790/ 50000, loss_seg = 0.7693 loss_adv = 0.0010, loss_weight = 0.0198, loss_D_s = 0.5900 loss_D_t = 0.5123
Iter =   1800/ 50000, loss_seg = 0.5651 loss_adv = 0.0009, loss_weight = 0.0198, loss_D_s = 0.4308 loss_D_t = 0.6840
Iter =   1810/ 50000, loss_seg = 0.7257 loss_adv = 0.0015, loss_weight = 0.0198, loss_D_s = 0.7205 loss_D_t = 0.4023
Iter =   1820/ 50000, loss_seg = 0.6219 loss_adv = 0.0009, loss_weight = 0.0198, loss_D_s = 0.2755 loss_D_t = 0.5737
Iter =   1830/ 50000, loss_seg = 0.8754 loss_adv = 0.0011, loss_weight = 0.0198, loss_D_s = 0.6296 loss_D_t = 0.4752
Iter =   1840/ 50000, loss_seg = 0.2836 loss_adv = 0.0014, loss_weight = 0.0198, loss_D_s = 0.6456 loss_D_t = 0.3333
Iter =   1850/ 50000, loss_seg = 0.2769 loss_adv = 0.0012, loss_weight = 0.0198, loss_D_s = 0.7770 loss_D_t = 0.4628
