DateTime: 05/02/2020 - 12:10:30
Random seed: 1234
###########   TRAINING STARTED  ############
Iter =  46720/ 48000, loss_seg = 0.1573 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0006, loss_D_s = 0.2255 loss_D_t = 0.1377
Iter =  46730/ 48000, loss_seg = 0.1585 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0006, loss_D_s = 0.2025 loss_D_t = 0.3747
Iter =  46740/ 48000, loss_seg = 0.0841 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0006, loss_D_s = 0.1607 loss_D_t = 0.2850
Iter =  46750/ 48000, loss_seg = 0.1074 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0006, loss_D_s = 0.1078 loss_D_t = 0.2497
Iter =  46760/ 48000, loss_seg = 0.0669 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0006, loss_D_s = 0.2754 loss_D_t = 0.1990
Iter =  46770/ 48000, loss_seg = 0.0966 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0006, loss_D_s = 0.2225 loss_D_t = 0.2463
Iter =  46780/ 48000, loss_seg = 0.1630 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0005, loss_D_s = 0.3481 loss_D_t = 0.1870
Iter =  46790/ 48000, loss_seg = 0.1176 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0005, loss_D_s = 0.3107 loss_D_t = 0.1609
Iter =  46800/ 48000, loss_seg = 0.1165 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0005, loss_D_s = 0.2482 loss_D_t = 0.2344
Iter =  46810/ 48000, loss_seg = 0.1555 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0005, loss_D_s = 0.3411 loss_D_t = 0.2612
Iter =  46820/ 48000, loss_seg = 0.1441 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0005, loss_D_s = 0.2260 loss_D_t = 0.2714
Iter =  46830/ 48000, loss_seg = 0.1326 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0005, loss_D_s = 0.2009 loss_D_t = 0.3198
Iter =  46840/ 48000, loss_seg = 0.1325 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0005, loss_D_s = 0.2835 loss_D_t = 0.3359
Iter =  46850/ 48000, loss_seg = 0.1686 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0005, loss_D_s = 0.2084 loss_D_t = 0.3734
